ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_7093	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6127843756	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_7094	Firmicutes	0.0001	0.0001	1.9310152442	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_7104	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.5631261671	0.0001	0.0001	0.0001
meta_mOTU_v2_7130	Firmicutes	5.3903833046	1.4422371999	3.3495799482	0.0001	1.0494849412	0.6075026138	1.6551702093	0.0001	9.8424465661	0.0001
meta_mOTU_v2_7154	Firmicutes	2.6952416523000005	13.017397071300001	1.6040379588999998	2.332066536	2.0173225864	1.0711334905	0.0001	1.4464663412999998	2.2267858798	3.0826682648000006
meta_mOTU_v2_7157	Firmicutes	0.0001	0.0001	0.0001	1.1134429398999999	0.0001	0.5837815649	1.117225532	0.0001	1.0840800492	0.0001
meta_mOTU_v2_7170	Bacteroidetes	1.3403470715999999	24.7333910921	9.880786257799999	9.3059664597	11.027173467499999	6.4123763471	7.3278051323	4.0874833345	13.360215278599998	27.917699379200002
meta_mOTU_v2_7180	Firmicutes	40.427224784100005	26.6332174729	0.0001	0.0001	13.5074207506	0.0001	18.036837202	12.9414944644	85.29400364840001	0.0001
meta_mOTU_v2_7186	Firmicutes	0.0001	0.0001	0.0001	1.1339182123	0.0001	0.0001	0.0001	0.0001	0.0001	1.6278588197
meta_mOTU_v2_7192	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.5420900246	0.0001	0.0001	0.0001
